,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
267,Chicago,Fitness Formula Clubs Corporate Headquarters,41.89,-87.64,3.7,The River District,20
268,Chicago,Orangetheory Fitness,41.89,-87.64,5,The River District,20
269,Chicago,Symmetry Chicago,41.89,-87.64,5,The River District,20
270,Chicago,Planet Fitness,41.88,-87.65,4.1,Futton Market,20
271,Chicago,UFC Gym River North,41.88,-87.65,4.8,Futton Market,20
272,Chicago,UFC Gym,41.88,-87.65,3.2,Futton Market,20
273,Chicago,River North Gym at the MART,41.88,-87.65,4.7,Futton Market,20
274,Chicago,POW! Gym Chicago,41.88,-87.65,5,Futton Market,20
275,Chicago,Coöp Gym,41.88,-87.65,3.8,Futton Market,20
276,Chicago,Equinox The Loop,41.88,-87.65,3.9,Futton Market,20
277,Chicago,Equinox Gold Coast,41.88,-87.65,4.4,Futton Market,20
278,Chicago,Lakeshore Sport & Fitness Illinois Center,41.88,-87.65,4.5,Futton Market,20
279,Chicago,TITLE Boxing Club Chicago West Loop,41.88,-87.65,4.7,Futton Market,20
280,Chicago,Bluprint Fitness/Chi-Town CrossFit,41.88,-87.65,5,Futton Market,20
281,Chicago,The Foundry - Union Station CrossFit,41.88,-87.65,5,Futton Market,20
282,Chicago,Solheim Gym,41.88,-87.65,NAN,Futton Market,20
283,Chicago,FFC Gold Coast,41.88,-87.65,4.2,Futton Market,20
284,Chicago,St Francis of Assisi Gym,41.88,-87.65,NAN,Futton Market,20
285,Chicago,South Loop Strength & Conditioning - Home of South Loop CrossFit,41.88,-87.65,4.9,Futton Market,20
286,Chicago,CrossFit CE,41.88,-87.65,5,Futton Market,20
287,Chicago,Fitness Formula Clubs Corporate Headquarters,41.88,-87.65,3.7,Futton Market,20
288,Chicago,Symmetry Chicago,41.88,-87.65,5,Futton Market,20
289,Chicago,Franklin Street Boxing Club,41.88,-87.65,5,Futton Market,20
290,Chicago,Planet Fitness,41.87,-87.63,4.1,City Center Campus,20
291,Chicago,UFC Gym,41.87,-87.63,3.2,City Center Campus,20
